month,kind,id,gbtud
2024-06,supply_total,national,1008
2024-07,supply_total,national,1022
2024-08,supply_total,national,1065
2024-09,supply_total,national,1224
2024-10,supply_total,national,1334
2024-11,supply_total,national,1120
2024-12,supply_total,national,1176
2025-01,supply,bonga_mamey,33
2025-01,supply,bullerengue,17
2025-01,supply,gibraltar,11
2025-01,supply,istanbul,11
2025-01,supply_total,national,978
2025-02,supply,bonga_mamey,33
2025-02,supply,bullerengue,16
2025-02,supply,gibraltar,33
2025-02,supply,istanbul,10
2025-02,supply_total,national,966
2025-03,supply,bonga_mamey,33
2025-03,supply,bullerengue,14
2025-03,supply,gibraltar,38
2025-03,supply,istanbul,10
2025-03,supply_total,national,961
2025-04,supply,bonga_mamey,32
2025-04,supply,bullerengue,13
2025-04,supply,gibraltar,24
2025-04,supply,istanbul,9
2025-04,supply_total,national,970
2025-05,supply,bonga_mamey,30
2025-05,supply,bullerengue,13
2025-05,supply,gibraltar,31
2025-05,supply,istanbul,9
2025-05,supply,lng_cartagena,185
2025-05,supply_total,national,971
2025-06,supply,bonga_mamey,31
2025-06,supply,bullerengue,11
2025-06,supply,gibraltar,36
2025-06,supply,istanbul,9
2025-06,supply,lng_cartagena,197
2025-06,supply_total,national,978
2025-07,supply,bonga_mamey,28
2025-07,supply,bullerengue,10
2025-07,supply,gibraltar,32
2025-07,supply,istanbul,9
2025-07,supply,lng_cartagena,205
2025-07,supply_total,national,996
2025-08,supply,bonga_mamey,30
2025-08,supply,bullerengue,9
2025-08,supply,gibraltar,24
2025-08,supply,istanbul,6
2025-08,supply,lng_cartagena,158
2025-08,supply_total,national,956
2025-09,demand,comercial,66
2025-09,demand,compresoras,5
2025-09,demand,gnv,60
2025-09,demand,industrial,230
2025-09,demand,petrolero,25
2025-09,demand,petroquimica,9
2025-09,demand,refineria,135
2025-09,demand,residencial,172
2025-09,demand,termoelectrica,187
2025-09,supply,bonga_mamey,29
2025-09,supply,bullerengue,8
2025-09,supply,gibraltar,35
2025-09,supply,istanbul,5
2025-09,supply,lng_cartagena,184
2025-09,supply_total,national,992
2025-10,demand,comercial,65
2025-10,demand,compresoras,6
2025-10,demand,gnv,61
2025-10,demand,industrial,219
2025-10,demand,petrolero,25
2025-10,demand,petroquimica,8
2025-10,demand,refineria,131
2025-10,demand,residencial,172
2025-10,demand,termoelectrica,158
2025-10,supply,bonga_mamey,28
2025-10,supply,bullerengue,7
2025-10,supply,gibraltar,34
2025-10,supply,istanbul,6
2025-10,supply,lng_cartagena,145
2025-10,supply_total,national,936
2025-11,demand,comercial,65
2025-11,demand,compresoras,4
2025-11,demand,gnv,61
2025-11,demand,industrial,218
2025-11,demand,petrolero,24
2025-11,demand,petroquimica,8
2025-11,demand,refineria,125
2025-11,demand,residencial,168
2025-11,demand,termoelectrica,168
2025-11,supply,bonga_mamey,27
2025-11,supply,bullerengue,7
2025-11,supply,gibraltar,33
2025-11,supply,istanbul,12
2025-11,supply,lng_cartagena,191
2025-11,supply_total,national,947
2025-12,demand,comercial,62
2025-12,demand,compresoras,4
2025-12,demand,gnv,59
2025-12,demand,industrial,170
2025-12,demand,petrolero,29
2025-12,demand,petroquimica,8
2025-12,demand,refineria,137
2025-12,demand,residencial,166
2025-12,demand,termoelectrica,134
2025-12,supply,bonga_mamey,26
2025-12,supply,bullerengue,6
2025-12,supply,gibraltar,26
2025-12,supply,istanbul,7
2025-12,supply,lng_cartagena,194
2025-12,supply_total,national,871
2026-01,demand,comercial,62
2026-01,demand,compresoras,4
2026-01,demand,gnv,54
2026-01,demand,industrial,167
2026-01,demand,petrolero,27
2026-01,demand,petroquimica,8
2026-01,demand,refineria,144
2026-01,demand,residencial,164
2026-01,demand,termoelectrica,144
2026-01,supply,arrecife,12
2026-01,supply,ballena_chuchupa,68
2026-01,supply,bloque_vim,78
2026-01,supply,bonga_mamey,26
2026-01,supply,bullerengue,6
2026-01,supply,gibraltar,28
2026-01,supply,istanbul,10
2026-01,supply,lng_cartagena,182
2026-01,supply,magico,14
2026-01,supply,otros_costa,11
2026-01,supply,otros_interior,35
2026-01,supply,piedemonte_llanero,380
2026-01,supply_total,national,849
2026-02,demand,comercial,67
2026-02,demand,compresoras,4
2026-02,demand,gnv,58
2026-02,demand,industrial,173
2026-02,demand,petrolero,32
2026-02,demand,petroquimica,8
2026-02,demand,refineria,135
2026-02,demand,residencial,173
2026-02,demand,termoelectrica,163
2026-02,supply,arrecife,12
2026-02,supply,ballena_chuchupa,67
2026-02,supply,bloque_vim,71
2026-02,supply,bonga_mamey,25
2026-02,supply,bullerengue,6
2026-02,supply,gibraltar,22
2026-02,supply,istanbul,11
2026-02,supply,lng_cartagena,203
2026-02,supply,magico,10
2026-02,supply,otros_costa,12
2026-02,supply,otros_interior,36
2026-02,supply,piedemonte_llanero,414
2026-02,supply_total,national,889
